Epoch,Train Loss,Train Acc,Train F1,Val Loss,Val Acc,Val F1,Val Precision,Val Recall
1,0.6499196318062869,0.621173928700036,0.5994128005038676,0.6999537825584412,0.46601941747572817,0.3019194856793635,0.48406122513519495,0.46601941747572817
2,0.6123621016740799,0.6697875405113431,0.6628493967937952,0.6881829142570496,0.4854368932038835,0.3523019212621695,0.6217269785230951,0.4854368932038835
3,0.5797345462170514,0.7021966150522146,0.6963888152833965,0.6912255644798279,0.5080906148867314,0.3996589762327313,0.6588072122052705,0.5080906148867314
4,0.5452050024812872,0.7223622614332013,0.7174201023037491,0.6250182151794433,0.6343042071197411,0.6042511511572723,0.7341412494579268,0.6343042071197411
5,0.5289184694940393,0.7353258912495498,0.7296970032651293,0.8021886587142945,0.517799352750809,0.4056038827633772,0.7333211001012022,0.517799352750809
6,0.5029846809127114,0.7544112351458409,0.750801882881199,0.7350305557250977,0.5533980582524272,0.4777000975519116,0.7110663413547688,0.5533980582524272
7,0.4930876229297031,0.7608930500540151,0.7584715634432775,0.7082751154899597,0.5566343042071198,0.49125275549927305,0.684102396276499,0.5566343042071198
8,0.4800984757867726,0.768815268275117,0.7659149451980118,0.6675694823265076,0.6181229773462783,0.5809146237754489,0.7301422681788543,0.6181229773462783
9,0.47641044042327185,0.7814187972632337,0.7797151025254885,0.7751200795173645,0.5598705501618123,0.485269661355507,0.728023730220598,0.5598705501618123
10,0.4612128585577011,0.7832193014043932,0.780499683814958,0.8346441626548767,0.5533980582524272,0.4716391042682199,0.737568917618802,0.5533980582524272
11,0.45406834510239685,0.7861001080302484,0.7844137120756449,0.7858493566513062,0.5501618122977346,0.4662312830046769,0.7355673869923792,0.5501618122977346
12,0.4390553059903058,0.7994238386748289,0.7970526511325843,0.7773326277732849,0.6019417475728155,0.5522792199170031,0.7431645237470481,0.6019417475728155
13,0.4368695901198821,0.7994238386748289,0.7978604812301435,0.7469784021377563,0.656957928802589,0.6280518689797412,0.7716991548715542,0.656957928802589
