Epoch,Train Loss,Train Acc,Train F1,Val Loss,Val Acc,Val F1,Val Precision,Val Recall
1,0.9695936075665734,0.541591645660785,0.4516686273682403,0.9393786549568176,0.5663430420711975,0.47630414309793395,0.7319415360534721,0.5663430420711975
2,0.8571952459487048,0.598487576521426,0.5512358306351025,0.8722085118293762,0.5825242718446602,0.5401168276257889,0.6275521493968095,0.5825242718446602
3,0.8047483482144095,0.6406193734245589,0.6203273721756716,0.8176428079605103,0.6116504854368932,0.5887755147994712,0.6407234667682115,0.6116504854368932
4,0.7556072974746878,0.658984515664386,0.6449812754031554,0.8775828361511231,0.5857605177993528,0.5582881040260572,0.6206042166427831,0.5857605177993528
5,0.7212006923827258,0.689593086064098,0.6804198962952673,1.0442657113075255,0.5533980582524272,0.4905126026412102,0.578202537399553,0.5533980582524272
6,0.7113900848410346,0.6849117752970831,0.6761236132306426,0.865487563610077,0.56957928802589,0.5670407534526583,0.6083086307291675,0.56957928802589
7,0.676447756588459,0.6978754051134317,0.690563478094964,0.7806562304496765,0.6116504854368932,0.6000711515068052,0.6455920471965438,0.6116504854368932
8,0.6632591052488848,0.7137198415556356,0.7058807744719088,0.7558843612670898,0.6504854368932039,0.6457556595306064,0.6546030883125209,0.6504854368932039
9,0.6481147814880718,0.7104789341015484,0.7057555156611833,0.7540340065956116,0.6375404530744336,0.6311587805929262,0.6548529003738692,0.6375404530744336
10,0.6364652473818172,0.7223622614332013,0.71651675274764,0.8781887054443359,0.5889967637540453,0.5905480097400887,0.6257461344839985,0.5889967637540453
11,0.6127716905691407,0.7392870003601009,0.7348919085790951,0.8037565231323243,0.6116504854368932,0.6140982226487979,0.6358583314042947,0.6116504854368932
12,0.5960505496371876,0.7360460929060136,0.7318592148789845,0.7182838797569275,0.6666666666666666,0.6650675278788406,0.6749014962272412,0.6666666666666666
13,0.5876646610823545,0.7385667987036371,0.7343834260710933,0.7861232876777648,0.6440129449838188,0.6450161504937095,0.6611741757482352,0.6440129449838188
14,0.5695470239628445,0.750090025207058,0.7466920173075623,0.7415246844291687,0.6634304207119741,0.6618573647660148,0.6630737126513033,0.6634304207119741
15,0.5816132609139789,0.7482895210658984,0.7460187515948336,0.7210904955863953,0.6472491909385113,0.643780757690411,0.6565936873550569,0.6472491909385113
16,0.5537112822586839,0.7637738566798704,0.7611172761395962,0.7168534517288208,0.6796116504854369,0.678608420225504,0.6805484745543842,0.6796116504854369
17,0.5402000519362363,0.7677349657904213,0.764993013272993,0.7852749109268189,0.6310679611650486,0.6262920969324559,0.6650744765024754,0.6310679611650486
18,0.5453624772754583,0.7583723442563918,0.7562489327678498,0.7595181703567505,0.6343042071197411,0.6354538813003006,0.640981825730828,0.6343042071197411
19,0.5300831368023698,0.7709758732445084,0.7678065770417559,0.7465169787406921,0.656957928802589,0.6539691887641944,0.6581545827141864,0.656957928802589
20,0.5058807053349235,0.7911415196254952,0.7893726448895863,0.745607316493988,0.6537216828478964,0.6523160169087578,0.6576746795218561,0.6537216828478964
21,0.5213108414953406,0.7734965790421318,0.7708313213577289,0.7193459868431091,0.6763754045307443,0.6751232322742966,0.6767728542739095,0.6763754045307443
22,0.5102444318207827,0.7799783939503061,0.7782734942815868,0.7563511848449707,0.6666666666666666,0.6691947485232466,0.6870516761821109,0.6666666666666666
23,0.5002692186019637,0.7904213179690314,0.787782143407199,0.7944082856178284,0.627831715210356,0.6264684392207027,0.6490867864545186,0.627831715210356
24,0.48654789342121646,0.7951026287360461,0.7938239893054635,0.7960480928421021,0.6440129449838188,0.6399363784715874,0.6644957263262052,0.6440129449838188
25,0.480533129112287,0.8019445444724523,0.8001472092898986,0.8288283944129944,0.627831715210356,0.6247531056892687,0.6557523595210201,0.627831715210356
26,0.4826903363520449,0.7904213179690314,0.7888635412395638,0.7350236058235169,0.6440129449838188,0.6433653622329645,0.6435071423102755,0.6440129449838188
27,0.44480778818780725,0.8185091825711199,0.8174578603114117,0.7788085460662841,0.6537216828478964,0.6467549224387622,0.6619188119392856,0.6537216828478964
28,0.4547652920538729,0.8134677709758732,0.8122532130252785,0.7817287087440491,0.6504854368932039,0.6470405627026288,0.6648707397122677,0.6504854368932039
29,0.42881265485828574,0.8224702916816709,0.8214374979672062,0.768363606929779,0.6699029126213593,0.667718447116495,0.6773162282274172,0.6699029126213593
30,0.4461845714937557,0.8163485776017285,0.8154554753935447,0.8069899439811706,0.6181229773462783,0.6213388156329616,0.6429041404076534,0.6181229773462783
31,0.42726679281754926,0.8242707958228304,0.8236061383205725,0.9000543355941772,0.598705501618123,0.595213946037598,0.6303112554385367,0.598705501618123
32,0.43296641585501755,0.8167086784299604,0.8155800488335734,0.8336342692375183,0.6116504854368932,0.6129075332854853,0.6271271100171689,0.6116504854368932
33,0.39649498801339755,0.8455167446885128,0.8447209415344861,0.7811671257019043,0.6601941747572816,0.6606297842992193,0.6659845768098196,0.6601941747572816
34,0.372384193607352,0.8534389629096147,0.8529141748616854,0.7708819150924683,0.6407766990291263,0.6425077347584329,0.6487317831486443,0.6407766990291263
35,0.36264905672181735,0.8487576521425999,0.8478172140947396,0.7760401368141174,0.6634304207119741,0.6645819195360357,0.6689948590026061,0.6634304207119741
36,0.37021527473222127,0.8512783579402232,0.8508152997785033,0.7758312702178956,0.6537216828478964,0.6533928515829714,0.6570441632320815,0.6537216828478964
37,0.3511825796555389,0.8595606769895571,0.8589773897887835,0.771185576915741,0.6731391585760518,0.6741538761181934,0.676925060761474,0.6731391585760518
38,0.35177411613139237,0.848397551314368,0.8478319314137185,0.7983668923377991,0.6537216828478964,0.6530394491354078,0.6529524175243557,0.6537216828478964
39,0.35246372934092174,0.8574000720201657,0.8569831998039374,0.7867703437805176,0.6699029126213593,0.6700533653669329,0.6759816167634142,0.6699029126213593
