Epoch,Train Loss,Train Acc,Train F1,Val Loss,Val Acc,Val F1,Val Precision,Val Recall
1,0.661245658993721,0.6251342642320086,0.5703025064178748,0.6688655495643616,0.5787781350482315,0.4243587140883164,0.33498412960990886,0.5787781350482315
2,0.6050772057338194,0.6809881847475833,0.6591874747992387,0.6031948447227478,0.6881028938906752,0.6469573741987247,0.7352433750970174,0.6881028938906752
3,0.5517580278895118,0.723952738990333,0.7144944488442468,0.569794088602066,0.7138263665594855,0.6980521113879192,0.7228712946223244,0.7138263665594855
4,0.5393390025604855,0.7303974221267454,0.7216708096821223,0.5550513446331025,0.7138263665594855,0.7092448956415304,0.7114320243273548,0.7138263665594855
5,0.5215023776346986,0.7475832438238453,0.743455320593044,0.5878661274909973,0.7170418006430869,0.6998654661190171,0.7293940640083312,0.7170418006430869
6,0.5032076327638193,0.7636949516648764,0.7609445780468574,0.5185020089149475,0.7620578778135049,0.7593825209648416,0.7608960989680369,0.7620578778135049
7,0.4988856911659241,0.7665592552810598,0.7636476009604336,0.5207577884197235,0.7491961414790996,0.7479726033127446,0.7477600143723953,0.7491961414790996
8,0.49238431453704834,0.7730039384174723,0.7707714982952035,0.5690457165241242,0.7234726688102894,0.7217228712405562,0.721497813253071,0.7234726688102894
9,0.4825463755564256,0.7758682420336556,0.7748193184307017,0.506786048412323,0.7556270096463023,0.7492259929891596,0.7580056122286551,0.7556270096463023
10,0.480267042463476,0.7844611528822055,0.7820407407317814,0.5187801539897918,0.7395498392282959,0.7394116268548485,0.739288832891718,0.7395498392282959
11,0.4660219197923487,0.7851772287862513,0.7835486868885729,0.5104758858680725,0.7363344051446945,0.7374145478126942,0.7400153192562514,0.7363344051446945
12,0.45961701802232047,0.7833870390261368,0.7823208039508458,0.5110737025737763,0.729903536977492,0.7289522494860576,0.7285518099782179,0.729903536977492
13,0.45073494586077606,0.7851772287862513,0.7832300216746139,0.49215185046195986,0.7781350482315113,0.7762096721844232,0.7770961809272547,0.7781350482315113
14,0.4444796144962311,0.7926960257787325,0.7913267488376157,0.5088069975376129,0.7459807073954984,0.7402492478493503,0.7465049629526073,0.7459807073954984
15,0.4390600940043276,0.7973505191550304,0.7961683854773579,0.5127874553203583,0.7331189710610932,0.7339452716235377,0.7355145866280287,0.7331189710610932
