Epoch,Train Loss,Train Acc,Train F1,Val Loss,Val Acc,Val F1,Val Precision,Val Recall
1,0.633541615171866,0.6377385667987037,0.6201031362727281,0.6293034076690673,0.6472491909385113,0.6095225034241899,0.6980319236465361,0.6472491909385113
2,0.5781047411940314,0.6989557075981275,0.6919624360332165,0.617615795135498,0.6019417475728155,0.5241939493367314,0.6981819492730276,0.6019417475728155
3,0.5403802374547179,0.731004681310767,0.7244294449722387,0.572358924150467,0.6796116504854369,0.645346126963255,0.7482047062695409,0.6796116504854369
4,0.5039510435678742,0.7468491177529708,0.7426407181341493,0.48862420916557314,0.7540453074433657,0.7515603328710125,0.756944509460636,0.7540453074433657
5,0.4920057844031941,0.7608930500540151,0.7562595168809738,0.49471014738082886,0.7702265372168284,0.7686480770686109,0.771830798969397,0.7702265372168284
6,0.4719146253033118,0.7828592005761613,0.7803364776917371,0.4592115104198456,0.8058252427184466,0.8057311737274305,0.8057048763132835,0.8058252427184466
7,0.4565653455528346,0.7806985956067699,0.7783270010970835,0.4692779302597046,0.7831715210355987,0.7794041270900022,0.7922716728241258,0.7831715210355987
8,0.4457866143096577,0.7922218221101909,0.7903357073696766,0.5367965161800384,0.7055016181229773,0.6809216801468044,0.761300478401576,0.7055016181229773
9,0.43898652358488605,0.7958228303925099,0.7941577724681682,0.4542442262172699,0.7961165048543689,0.7932806868981271,0.8031530059746079,0.7961165048543689
10,0.4275810793042183,0.7961829312207418,0.7948264863674718,0.475130957365036,0.7734627831715211,0.7669126315441044,0.7915780354635171,0.7734627831715211
11,0.4062569405544888,0.8195894850558156,0.8184654506145939,0.45620536208152773,0.8187702265372169,0.8183980134891963,0.8316372020508495,0.8187702265372169
12,0.40963904627344827,0.814548073460569,0.8134546649625021,0.5818252921104431,0.7249190938511327,0.7042699278380042,0.7788280987599776,0.7249190938511327
13,0.3884588259864937,0.8325531148721642,0.830969904296246,0.4812204480171204,0.7799352750809061,0.773038357472545,0.8010015329586102,0.7799352750809061
14,0.38825012066147546,0.8203096867122794,0.8193968236466983,0.40874391198158266,0.8187702265372169,0.8187702265372169,0.8187702265372169,0.8187702265372169
15,0.3878517150878906,0.8177889809146561,0.8171310635792964,0.4653707921504974,0.7896440129449838,0.7833092788379048,0.8106158356687051,0.7896440129449838
16,0.37962051142345776,0.8300324090745409,0.8288425749068276,0.4725585222244263,0.7799352750809061,0.7719011660759234,0.8060531473631433,0.7799352750809061
17,0.3631309765306386,0.8357940223262513,0.8352737469555471,0.429532653093338,0.8090614886731392,0.8079667623779062,0.8107611449788014,0.8090614886731392
18,0.34971057962287555,0.8437162405473533,0.8433107161293388,0.4685559093952179,0.8058252427184466,0.8015051954252973,0.8207023136743467,0.8058252427184466
19,0.3406284468417818,0.8487576521425999,0.8482115547496137,0.4251476049423218,0.8284789644012945,0.8285150433309647,0.8285685123339349,0.8284789644012945
20,0.3358993391421708,0.8455167446885128,0.8448294963145564,0.415673565864563,0.8381877022653722,0.8376570017543932,0.8389053346305919,0.8381877022653722
21,0.32903652638196945,0.8642419877565718,0.8636168465101803,0.434119838476181,0.8220064724919094,0.8218200235027425,0.8324873408891333,0.8220064724919094
22,0.3296710689636794,0.8537990637378466,0.8531600101156073,0.4398811817169189,0.8220064724919094,0.8205655517421714,0.8255166737019839,0.8220064724919094
23,0.3119257912039757,0.8624414836154123,0.8616870588732176,0.4343218982219696,0.8090614886731392,0.8090172699372928,0.8089900507727155,0.8090614886731392
24,0.3187946910885247,0.855959668707238,0.8558179948820002,0.39935687780380247,0.8349514563106796,0.8344802928973502,0.8354424729382882,0.8349514563106796
25,0.2924384061585773,0.8721642059776737,0.8715755451223184,0.42979254722595217,0.8349514563106796,0.8346098455462085,0.8351331552326818,0.8349514563106796
26,0.28623765215955,0.8754051134317609,0.8752983754478035,0.4422754943370819,0.8381877022653722,0.837169841840996,0.8407512202971624,0.8381877022653722
